false,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Ayotzintepec,MX,81.32,overcast clouds,17.6667,-96.1333,"Hotel ""Punta del Cerro"""
4,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
10,Samarai,PG,78.69,overcast clouds,-10.6167,150.6667,Nuli Sapi
13,Rikitea,PF,78.58,few clouds,-23.1203,-134.9692,Pension Maro'i
18,Salalah,OM,77.0,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
20,Atuona,PF,81.0,few clouds,-9.8,-139.0333,Villa Enata
25,Narasannapeta,IN,86.05,overcast clouds,18.4167,84.05,G.lingaraju home
27,Buchanan,LR,78.13,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
29,Dogondoutchi,NE,81.73,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
30,Carnarvon,AU,82.74,clear sky,-24.8667,113.6333,Hospitality Carnarvon
33,Geraldton,AU,75.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
38,Nago,JP,75.2,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
45,Vaini,TO,80.6,scattered clouds,-21.2,-175.2,Keleti Beach Resort
46,San Ignacio,BZ,80.6,clear sky,17.1561,-89.0714,Rainforest Haven Inn
53,Tura,IN,87.28,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
55,Avarua,CK,82.4,scattered clouds,-21.2078,-159.775,Paradise Inn
57,Sola,VU,89.6,scattered clouds,-13.8833,167.55,Leumerus Bungalows
61,Kande,TG,80.6,clear sky,9.9578,1.0447,
74,Vaitape,PF,82.18,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
79,Isangel,VU,86.0,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
83,Banjarmasin,ID,84.2,scattered clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
90,Sao Filipe,CV,75.72,scattered clouds,14.8961,-24.4956,Tortuga B&B
96,Dingle,PH,87.62,light rain,10.9995,122.6711,SEGAYA PROPERTY
99,Lorengau,PG,83.98,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
100,Acarau,BR,77.83,overcast clouds,-2.8856,-40.12,castelo pizzaria
105,Port Blair,IN,85.32,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
107,Yeppoon,AU,84.2,clear sky,-23.1333,150.7333,Villa Mar Colina
117,Dubbo,AU,75.2,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
135,Waingapu,ID,84.13,few clouds,-9.6567,120.2641,Pondok Wisata Elim
137,Georgetown,MY,87.8,few clouds,5.4112,100.3354,Cititel Penang
143,Soe,ID,77.52,overcast clouds,-9.8607,124.284,Dena Hotel
149,Ulladulla,AU,75.2,clear sky,-35.35,150.4667,Sandpiper Motel
150,Cap Malheureux,MU,78.01,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
151,Vung Tau,VN,79.47,overcast clouds,10.346,107.0843,Green hotel
158,Biak,ID,82.6,overcast clouds,-0.9131,122.8766,Penginapan Kim
159,Kavieng,PG,84.07,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
171,Weligama,LK,82.53,broken clouds,5.9667,80.4167,Weligama Bay Resort
179,Bairiki,KI,87.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
180,Saint-Joseph,RE,75.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
181,Loandjili,CG,75.2,moderate rain,-4.7561,11.8578,Résidence ARCHANGE
182,Bambous Virieux,MU,78.01,light rain,-20.3428,57.7575,Casa Tia Villa
184,Taoudenni,ML,82.33,clear sky,22.6783,-3.9836,
188,Savannah Bight,HN,80.6,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
194,Ikom,NG,75.11,light rain,5.9667,8.7063,Reho Farm & Resort
198,Puerto Ayora,EC,76.03,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
200,Hilo,US,78.8,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
203,Merauke,ID,86.2,overcast clouds,-8.4667,140.3333,
207,Quatre Cocos,MU,78.01,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
211,Poum,NC,78.39,overcast clouds,-20.2333,164.0167,Gîte kajeon
214,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
224,Karratha,AU,85.71,few clouds,-20.7377,116.8463,ibis Styles Karratha
225,Noumea,NC,79.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
231,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
233,Kirakira,SB,84.11,overcast clouds,-10.4544,161.9205,SanBiz Lodge
234,Kavaratti,IN,83.89,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
235,Sibu,MY,86.0,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
236,Manggar,ID,85.08,scattered clouds,-2.8833,108.2667,Guest Hotel
238,Bengkulu,ID,83.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
242,Haapiti,PF,80.6,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
245,Caravelas,BR,75.72,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
249,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
252,Bandarbeyla,SO,81.27,overcast clouds,9.4942,50.8122,JABIR HOTEL
253,Vanimo,PG,84.78,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
254,Namatanai,PG,85.57,scattered clouds,-3.6667,152.4333,Namatanai Hotel
257,Boromo,BF,87.49,clear sky,11.75,-2.9333,Sama Camp
258,Meulaboh,ID,83.44,broken clouds,4.1363,96.1285,Kost Pria
261,Bosaso,SO,79.11,scattered clouds,11.2842,49.1816,Red Sea Hotel
264,Bubaque,GW,77.38,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
270,Winneba,GH,82.4,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
271,Eyl,SO,80.01,broken clouds,7.9803,49.8164,Amiin Hotel
273,Neiafu,TO,80.6,broken clouds,-18.65,-173.9833,Mystic Sands
275,Phan Thiet,VN,85.64,scattered clouds,10.9333,108.1,Hotel Saigon-PT
280,Ormara,PK,79.99,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
281,Souillac,MU,75.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
282,Jashpurnagar,IN,87.62,overcast clouds,22.9,84.15,Sagar Restaurant
283,Labuhan,ID,84.24,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
284,Tambacounda,SN,84.2,clear sky,13.7539,-13.7586,
285,Poya,NC,80.04,light rain,-21.35,165.15,
288,Lasem,ID,84.27,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
291,Payo,ID,86.9,light rain,-3.7508,103.6372,Mess keban agung
292,Tevaitoa,PF,82.2,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
298,The Valley,AI,79.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
301,Carutapera,BR,77.36,broken clouds,-1.195,-46.02,Lidera
302,Cayenne,GF,81.0,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
