City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Powell,US,40.1578,-83.0752,51.01,50,1,10.36,clear sky
Ayotzintepec,MX,17.6667,-96.1333,81.32,56,87,2.8,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,57.2,94,96,3.4,overcast clouds
Bluff,NZ,-46.6,168.3333,60.01,76,84,7.0,broken clouds
Saint-Philippe,RE,-21.3585,55.7679,75.2,78,0,6.91,light rain
Hami,CN,42.8,93.45,56.64,11,1,11.01,clear sky
Lagoa,PT,39.05,-27.9833,60.55,88,48,11.27,scattered clouds
Esperance,AU,-33.8667,121.9,66.2,68,75,13.8,broken clouds
Champerico,GT,14.3,-91.9167,68.0,96,100,6.98,overcast clouds
Beloha,MG,-25.1667,45.05,69.6,96,13,2.98,few clouds
Samarai,PG,-10.6167,150.6667,78.69,89,99,11.39,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,39.2,87,0,8.05,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,88,20,6.91,few clouds
Rikitea,PF,-23.1203,-134.9692,78.58,71,11,7.11,few clouds
Fonte Boa,BR,-2.4959,-66.2662,72.21,99,100,2.19,overcast clouds
Albany,US,42.6001,-73.9662,57.2,58,75,1.83,broken clouds
Andapa,MG,-14.65,49.65,65.55,98,32,2.64,scattered clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.0,93,75,15.66,broken clouds
Salalah,OM,17.0151,54.0924,77.0,73,20,4.61,few clouds
Busselton,AU,-33.65,115.3333,69.01,65,21,1.99,few clouds
Atuona,PF,-9.8,-139.0333,81.0,73,14,19.66,few clouds
New Norfolk,AU,-42.7826,147.0587,57.0,78,14,3.0,moderate rain
Kapaa,US,22.0752,-159.319,73.99,73,75,18.41,light rain
Kruisfontein,ZA,-34.0033,24.7314,58.48,92,2,2.77,clear sky
Castro,BR,-24.7911,-50.0119,53.02,98,96,5.08,overcast clouds
Narasannapeta,IN,18.4167,84.05,86.05,49,100,5.7,overcast clouds
Umm Lajj,SA,25.0213,37.2685,72.73,53,0,9.19,clear sky
Buchanan,LR,5.8808,-10.0467,78.13,85,94,2.04,overcast clouds
Marblehead,US,42.5001,-70.8578,48.2,76,90,8.05,overcast clouds
Dogondoutchi,NE,13.6393,4.0287,81.73,7,100,5.64,overcast clouds
Carnarvon,AU,-24.8667,113.6333,82.74,40,0,18.21,clear sky
Magdagachi,RU,53.45,125.8,36.43,52,24,4.59,few clouds
Chukhloma,RU,58.7525,42.6825,46.63,95,100,7.65,overcast clouds
Geraldton,AU,-28.7667,114.6,75.2,33,0,19.57,clear sky
Port Alfred,ZA,-33.5906,26.891,66.47,82,44,7.34,scattered clouds
Buin,CL,-33.7333,-70.75,63.0,77,0,5.75,clear sky
Camacupa,AO,-12.0167,17.4833,60.13,94,96,2.62,overcast clouds
Maceio,BR,-9.6658,-35.7353,73.4,100,75,4.61,moderate rain
Nago,JP,26.5881,127.9761,75.2,60,90,10.36,overcast clouds
Thompson,CA,55.7435,-97.8558,28.4,34,20,3.44,few clouds
Khatanga,RU,71.9667,102.5,-3.69,92,56,9.86,broken clouds
Aklavik,CA,68.2191,-135.0107,33.8,69,100,4.61,overcast clouds
Ushuaia,AR,-54.8,-68.3,41.0,70,40,5.75,light snow
Omsukchan,RU,62.5333,155.8,15.55,87,99,6.76,overcast clouds
Finnsnes,NO,69.2296,17.9811,35.6,93,90,3.44,light rain
Vaini,TO,-21.2,-175.2,80.6,74,40,8.05,scattered clouds
San Ignacio,BZ,17.1561,-89.0714,80.6,74,0,6.91,clear sky
Kurchum,KZ,48.5722,83.6542,47.23,47,2,7.58,clear sky
Tiksi,RU,71.6872,128.8694,14.29,89,53,2.55,broken clouds
Scalea,IT,39.813,15.7956,39.99,93,72,1.01,broken clouds
Komsomolskiy,UZ,40.4272,71.7189,64.4,42,100,4.61,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,60.01,76,100,7.0,overcast clouds
Tarboro,US,35.8968,-77.5358,69.8,73,90,3.44,overcast clouds
Tura,IN,25.5198,90.2201,87.28,39,92,6.6,overcast clouds
Jamestown,US,42.097,-79.2353,46.0,53,90,9.22,overcast clouds
Avarua,CK,-21.2078,-159.775,82.4,65,40,6.91,scattered clouds
Tommot,RU,58.9564,126.2925,32.74,75,100,9.98,light snow
Sola,VU,-13.8833,167.55,89.6,66,40,2.3,scattered clouds
